Date,Time,State/UnionTerritory,Confirmed,Cured,Deaths
15-04-2020,5:00 PM,Himachal Pradesh,0.0006026516673362,0.0007667807007195,0.0005580357142857
10-03-2020,6:00 PM,Uttar Pradesh,0.0001278352021622,0.0,0.0
08-04-2020,5:00 PM,Assam,0.0004930786369115,0.0,0.0
22-04-2020,5:00 PM,Goa,0.0001278352021622,0.000412881915772,0.0
05-05-2020,5:00 PM,Tamil Nadu,0.0648307096679937,0.0831072313318391,0.0172991071428571
27-03-2020,10:00 AM,West Bengal,0.0001826217173746,0.0,0.0005580357142857
18-05-2020,9:56 AM,Rajasthan,0.1027977647101793,0.1898666981243364,0.0775669642857142
15-04-2020,5:00 PM,Meghalaya,0.0001278352021622,0.0,0.0005580357142857
12-05-2020,11:42 AM,Puducherry,0.0002191460608495,0.0005308481774212,0.0
04-04-2020,6:00 PM,Mizoram,1.826217173746302e-05,0.0,0.0
21-03-2020,6:00 PM,Tamil Nadu,5.4786515212389055e-05,5.898313082458417e-05,0.0
13-05-2020,5:22 PM,Odisha,0.0098250483947551,0.0084345877079155,0.0016741071428571
17-05-2020,11:23 PM,Dadra and Nagar Haveli and Daman and Diu,1.826217173746302e-05,5.898313082458417e-05,0.0
19-03-2020,6:00 PM,Rajasthan,0.0001278352021622,0.0001769493924737,0.0
07-04-2020,6:00 PM,Andhra Pradesh,0.0048577376821651,5.898313082458417e-05,0.0016741071428571
19-05-2020,10:43 AM,Odisha,0.019211804667811,0.0198773150878848,0.0033482142857142
05-05-2020,5:00 PM,Lakshadweep,0.0,0.0,0.0
25-05-2020,10:32 PM,Mizoram,1.826217173746302e-05,5.898313082458417e-05,0.0
26-03-2020,6:00 PM,Chhattisgarh,0.0001095730304247,0.0,0.0
02-04-2020,6:00 PM,Haryana,0.0007852733847109,0.0012386457473162,0.0
25-05-2020,5:51 PM,Ladakh,0.0009678951020855,0.0025362746254571,0.0
16-05-2020,10:24 PM,Andaman and Nicobar Islands,0.0006026516673362,0.0019464433172112,0.0
01-05-2020,5:00 PM,Meghalaya,0.0002191460608495,0.0,0.0005580357142857
17-05-2020,9:21 PM,Telangana,0.0283246283648051,0.0585112657779875,0.0189732142857142
16-04-2020,5:00 PM,Manipur,3.652434347492604e-05,5.898313082458417e-05,0.0
16-04-2020,5:00 PM,Puducherry,0.0001278352021622,5.898313082458417e-05,0.0
13-05-2020,11:04 PM,Himachal Pradesh,0.00122356550641,0.0020644095788604,0.0016741071428571
25-03-2020,6:00 PM,Punjab,0.0005296029803864,0.0,0.0005580357142857
30-03-2020,9:30 PM,Uttarakhand,0.0001278352021622,0.0001179662616491,0.0
08-05-2020,8:00 AM,Jharkhand,0.0024106066693451,0.0024183083638079,0.0016741071428571
26-04-2020,5:00 PM,Goa,0.0001278352021622,0.000412881915772,0.0
31-03-2020,8:30 PM,Uttar Pradesh,0.0018444793454837,0.0008257638315441,0.0
25-03-2020,6:00 PM,Ladakh,0.000237408232587,0.0,0.0
11-04-2020,5:00 PM,Goa,0.0001278352021622,5.898313082458417e-05,0.0
24-04-2020,5:00 PM,Karnataka,0.0084553855144453,0.0088474696236876,0.0100446428571428
19-05-2020,8:30 PM,Jammu and Kashmir,0.0240512801782387,0.0381620856435059,0.0094866071428571
21-04-2020,5:00 PM,Manipur,3.652434347492604e-05,0.0001179662616491,0.0
21-05-2020,11:09 PM,Assam,0.0038533182366046,0.0032440721953521,0.0022321428571428
07-05-2020,8:00 AM,Uttarakhand,0.0011139924759852,0.0023003421021587,0.0005580357142857
22-05-2020,10:09 PM,Rajasthan,0.1231235618539756,0.2233101333018756,0.0892857142857142
01-05-2020,5:00 PM,Uttarakhand,0.0010409437890353,0.002123392709685,0.0
11-05-2020,11:52 PM,Bihar,0.0136783666313598,0.0222366403208682,0.0033482142857142
18-03-2020,6:00 PM,Lakshadweep,0.0,0.0,0.0
